#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2025-09-06T11:26:00 [V7.5.1]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2025-09-06T11:26:00	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=unlimited&-out.all=2&-order=I&-source=B/vsx/vsx&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=7.5.1	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable
#RESOURCE=yCat_102027
#Name: B/vsx
#Title: AAVSO International Variable Star Index VSX (Watson+, 2006-)
#INFO	ivoid=ivo://cds.vizier/b/vsx	    IVOID of underlying data collection
#INFO	creator=Watson C.	    First author or institution
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/B/vsx	    Dataset landing page
#INFO	publication_date=2025-08-25	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	B_vsx_vsx:
#Name: B/vsx/vsx
#Title: Variable Star indeX, Version 2025-08-24
#Column	OID	(I8)	Internal identifier, can be used to link out to the VSX database (1)	[ucd=meta.id]
#Column	n_OID	(A1)	VizieR added column, not part of original data	[ucd=meta.ref.url]
#Column	Name	(a30)	Variable star identifier	[ucd=meta.id;meta.main]
#Column	V	(I1)	Variability flag (2) (VarFlag)	[ucd=meta.note]
#Column	Type	(a30)	? Variability type, ariability type, as in GCVS catalog Variability type (see details of VSX type list)	[ucd=meta.id]
#Column	l_max	(A1)	? Limit flag on max (LimitFlagOnMax)	[ucd=meta.code.error]
#Column	max	(F7.3)	[-6.0/25.2]? Magnitude at maximum, or amplitude (MagMax)	[ucd=phot.mag]
#Column	u_max	(A1)	? Uncertainty flag on max (MaxUncertaintyFlag)	[ucd=meta.code.error]
#Column	n_max	(a7)	? Passband on max magnitude (4) (MaxPassband)	[ucd=meta.note]
#Column	f_min	(A1)	? Flag to indicate an amplitude (MinIsAmplitude)	[ucd=meta.code]
#Column	l_min	(A1)	? Limit flag on min (LimitFlagOnMin)	[ucd=meta.code.error]
#Column	min	(F7.3)	[-0.02/28.0]? Magnitude at minimum, or amplitude (MagMin)	[ucd=phot.mag]
#Column	u_min	(A1)	? Uncertainty flag on min (MinUncertaintyFlag)	[ucd=meta.code.error]
#Column	n_min	(a8)	? Passband on min magnitude (MinPassband)	[ucd=meta.note]
#Column	Epoch	(F14.5)	? Epoch of maximum or minimum (HJD)	[ucd=time.epoch]
#Column	u_Epoch	(A1)	? Uncertainty flag on epoch (EpochUncertaintyFlag)	[ucd=meta.code.error;time.epoch]
#Column	l_Period	(A1)	? Limit flag on period (3) (LimitFlagOnPeriod)	[ucd=meta.code.error;time.period]
#Column	Period	(F19.12)	[0.0/27400.0]? Period of the variable in days	[ucd=time.period]
#Column	u_Period	(A1)	? Uncertainty flag on Period (3) (PeriodUncertaintyFlag)	[ucd=meta.code.error;time.period]
#Column	Sp	(a29)	? Spectral type (SpectralType)	[ucd=src.spType]
#Column	RAJ2000	(F9.5)	[0.0/360.0] Right ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F9.5)	[-89.93/89.91] Declination (J2000)	[ucd=pos.eq.dec;meta.main]
OID|n_OID|Name|V|Type|l_max|max|u_max|n_max|f_min|l_min|min|u_min|n_min|Epoch|u_Epoch|l_Period|Period|u_Period|Sp|RAJ2000|DEJ2000
  107393|B|ASAS J174619+1837.9           |0|MISC                          | |  9.310| |V      |Y| |  0.140| |V       | 2452732.60000| | |    33.388524000000| |                             |266.58050|+18.63003
  107394|B|ASAS J174619-3831.1           |0|MISC                          | |  9.740| |V      |Y| |  0.080| |V       | 2451993.60000| | |    23.798191000000| |                             |266.58071|-38.51811
  272590|B|ASAS J174619-0018.7           |0|VAR                           | |  9.381| |Ic     |Y| |  0.137| |Ic      |              | | |     1.399646000000| |A2                           |266.58092|-00.31058
   32759|B|V5059 Sgr                     |0|M:                            | |  8.500| |K      | | |  8.900| |K       |              | | |                   | |                             |266.58100|-29.07758
   32760|B|V5060 Sgr                     |0|M                             | |  8.900| |K      | | |  9.600| |K       |              | | |                   | |                             |266.58108|-29.03039
 6615881| |Gaia DR3 4120648184322188672  |0|ACV|roAm|roAp|SXARI           | |  9.680| |G      | | |  9.760| |G       |              | | |                   | |B                            |266.58252|-17.70571
   32761|B|V5061 Sgr                     |0|M:                            | |  8.900| |K      | | |  9.500| |K       |              | | |                   | |                             |266.58288|-29.12656
  274190|B|ASAS J174621-0054.7           |0|VAR                           | |  9.562| |Ic     |Y| |  0.081| |Ic      |              | | |                   | |                             |266.58600|-00.91039
  474266|B|2MASS J17462087-4000097       |0|M                             | |  8.000| |J      | | |  8.700| |J       |              | | |   409.100000000000| |                             |266.58699|-40.00271
   32764|B|V5064 Sgr                     |0|M:                            | |  8.600| |K      | | |  9.600| |K       |              | | |                   | |                             |266.58758|-28.82297
   32765|B|V5065 Sgr                     |0|M                             | |  9.300| |K      | | | 10.500| |K       |              | | |                   | |                             |266.58775|-29.14619
   48280|B|NSV 9656                      |2|                              | |  7.400| |V      | | |       | |        |              | | |                   | |A0+A0                        |266.58779|-13.30772
 6616115| |Gaia DR3 5909774844963534976  |0|DSCT|GDOR|SXPHE               | |  9.910| |G      | | | 10.030| |G       |              | | |     0.081251500000| |F                            |266.58867|-62.48167
   32767|B|V5067 Sgr                     |0|M:                            | |  8.500| |K      | | |  9.100| |K       |              | | |                   | |                             |266.59017|-29.05575
   32768|B|V5068 Sgr                     |0|M:                            | |  8.800| |K      | | |  9.800| |K       |              | | |                   | |                             |266.59150|-28.86867
   32251|B|V4551 Sgr                     |0|M                             | |  9.300| |K      | | | 11.200| |K       |              | | |                   | |                             |266.59213|-28.77294
  413666|B|ASAS J174623-3337.7           |0|MISC                          | |  6.863| |Ic     |Y| |  0.213| |Ic      | 2453360.10000| | |   281.000000000000| |                             |266.59385|-33.62792
   32769|B|V5069 Sgr                     |0|M:                            | |  9.700| |K      | | | 10.300| |K       |              | | |                   | |                             |266.59400|-29.05136
   32770|B|V5070 Sgr                     |0|M                             | |  9.200| |K      | | | 10.000| |K       |              | | |                   | |                             |266.59567|-29.10039
   32771|B|V5071 Sgr                     |0|M                             | |  7.800| |K      | | |  8.700| |K       |              | | |                   | |                             |266.59671|-28.84522
   32772|B|V5072 Sgr                     |0|M:                            | |  8.400| |K      | | |  8.900| |K       |              | | |                   | |                             |266.59708|-29.11744
   32773|B|V5073 Sgr                     |0|M:                            | |  7.300| |K      | | |  7.800| |K       |              | | |                   | |                             |266.59850|-29.10536
   32774|B|V5074 Sgr                     |0|M                             | |  8.600| |K      | | |  9.400| |K       |              | | |                   | |                             |266.60158|-29.01111
 6616727| |Gaia DR3 1367692482411608960  |0|DSCT|GDOR|SXPHE               | |  9.770| |G      | | |  9.810| |G       |              | | |                   | |F                            |266.60565|+50.65632
   28477|B|V0777 Sgr                     |0|EA/GS                         | |  8.590| |V      | | |  8.720| |V       | 2429411.70000| | |   936.000000000000| |K5Ib+B7:V                    |266.60579|-26.20031
  107398|B|V3084 Oph                     |0|RS                            | |  9.410| |V      | | |  9.670| |V       | 2454383.45000| | |     8.447000000000| |G0                           |266.60600|+03.98025
   32775|B|V5075 Sgr                     |0|M                             | |  8.600| |K      | | |  9.000| |K       |              | | |                   | |                             |266.60629|-29.10322
   32776|B|V5076 Sgr                     |0|M:                            | |  9.700| |K      | | | 10.500| |K       |              | | |                   | |                             |266.60663|-28.84819
   32253|B|V4553 Sgr                     |0|M                             | |  8.300| |K      | | | 10.000| |K       |              | | |                   | |                             |266.60767|-28.83336
   32777|B|V5077 Sgr                     |0|M                             | |  9.700| |K      | | | 12.400| |K       |              | | |                   | |                             |266.61154|-28.89908
   32778|B|V5078 Sgr                     |0|M:                            | |  8.800| |K      | | |  9.700| |K       |              | | |                   | |                             |266.61313|-28.81589
   32779|B|V5079 Sgr                     |0|M                             | |  7.800| |K      | | |  9.000| |K       |              | | |                   | |                             |266.61638|-28.83969
   32254|B|V4554 Sgr                     |0|M:                            | |  9.000| |K      | | |  9.600| |K       |              | | |                   | |                             |266.61671|-28.89397
   32780|B|V5080 Sgr                     |0|M                             | |  8.700| |K      | | |  9.700| |K       |              | | |                   | |                             |266.61733|-29.10347
  413667|B|ASAS J174629-3542.1           |0|M                             | |  9.802| |Ic     |Y| |  2.274| |Ic      | 2453011.50000| | |   410.000000000000| |                             |266.61789|-35.70275
   32781|B|V5081 Sgr                     |0|M                             | |  8.400| |K      | | |  9.400| |K       |              | | |                   | |                             |266.61833|-29.12447
   32255|B|V4555 Sgr                     |0|M                             | |  8.100| |K      | | |  9.800| |K       |              | | |                   | |                             |266.61963|-28.88875
   32782|B|V5082 Sgr                     |0|M:                            | |  9.000| |K      | | |  9.500| |K       |              | | |                   | |                             |266.62004|-28.86333
   32783|B|V5083 Sgr                     |0|M:                            | |  9.300| |K      | | | 10.000| |K       |              | | |                   | |                             |266.62042|-29.03564
   32784|B|V5084 Sgr                     |0|M                             | |  9.700| |K      | | | 10.900| |K       |              | | |                   | |                             |266.62196|-28.90136
  274191|B|ASAS J174630+0043.2           |0|VAR                           | |  9.779| |Ic     |Y| |  0.091| |Ic      |              | | |                   | |                             |266.62283|+00.71997
   32785|B|V5085 Sgr                     |0|M                             | |  7.800| |K      | | |  8.800| |K       |              | | |                   | |                             |266.62746|-28.95003
   32256|B|V4556 Sgr                     |0|M                             | |  9.200| |K      | | | 10.400| |K       |              | | |                   | |                             |266.62812|-28.52622
   32258|B|V4558 Sgr                     |0|M:                            | |  9.400| |K      | | | 10.100| |K       |              | | |                   | |                             |266.63033|-28.51844
   32257|B|V4557 Sgr                     |0|M                             | |  8.400| |K      | | |  9.500| |K       |              | | |                   | |                             |266.63075|-28.66336
   32788|B|V5088 Sgr                     |0|M                             | |  9.200| |K      | | | 10.300| |K       |              | | |                   | |                             |266.63342|-28.87211
  413668|B|ASAS J174632-3510.1           |0|MISC                          | |  9.222| |Ic     |Y| |  0.290| |Ic      | 2452670.50000| | |   105.500000000000| |                             |266.63365|-35.16888
   32789|B|V5089 Sgr                     |0|M                             | |  8.400| |K      | | |  9.800| |K       |              | | |                   | |                             |266.63521|-28.96469
   32260|B|V4560 Sgr                     |0|M                             | | 10.000| |K      | | | 11.200| |K       |              | | |                   | |                             |266.63808|-28.75042
   32791|B|V5091 Sgr                     |0|M                             | |  8.600| |K      | | |  9.200| |K       |              | | |                   | |                             |266.64067|-29.12636
   32792|B|V5092 Sgr                     |0|M                             | |  8.600| |K      | | |  9.900| |K       |              | | |                   | |                             |266.64112|-28.90125
   32793|B|V5093 Sgr                     |0|M:                            | |  9.700| |K      | | | 10.400| |K       |              | | |                   | |                             |266.64262|-28.94150
   32794|B|V5094 Sgr                     |0|M:                            | |  8.400| |K      | | |  9.300| |K       |              | | |                   | |                             |266.64283|-28.87731
   62236|B|NSV 23801                     |1|                              | |  7.500| |K      | | |  7.900| |K       |              | | |                   | |                             |266.64417|-28.99917
 6618091| |Gaia DR3 5958038693833874944  |0|ACV|roAm|roAp|SXARI           | |  8.910| |G      | | |  8.940| |G       |              | | |                   | |B                            |266.64499|-40.23612
   32262|B|V4562 Sgr                     |0|M                             | |  7.360| |L'     | | |  9.530| |L'      |              | | |                   | |                             |266.64717|-28.98250
  413669|B|ASAS J174636-5857.4           |0|MISC                          | |  9.199| |Ic     |Y| |  0.103| |Ic      | 2452630.00000| | |    77.710000000000| |                             |266.64939|-58.96069
   22809|B|V2323 Oph                     |0|ELL:                          | |  8.090| |V      | | |  8.120| |V       |              | | |                   | |B7III                        |266.65175|+06.12064
   32266|B|V4566 Sgr                     |0|M                             | |  9.500| |K      | | | 10.800| |K       |              | | |                   | |                             |266.65550|-28.54044
   32264|B|V4564 Sgr                     |0|M                             | |  9.000| |K      | | | 10.000| |K       |              | | |                   | |                             |266.65683|-29.32453
  413670|B|ASAS J174638-1834.1           |0|MISC                          | |  9.185| |Ic     |Y| |  0.236| |Ic      | 2452589.50000| | |    71.190000000000| |                             |266.65860|-18.56781
   32265|B|V4565 Sgr                     |0|M                             | |  9.400| |K      | | | 10.800| |K       |              | | |                   | |                             |266.65883|-29.32519
 6618642| |Gaia DR3 1362883630868217216  |0|SR|M                          | |  8.670| |G      | | |  8.830| |G       |              | | |    62.890000000000| |M                            |266.66170|+47.86643
  250207|B|HD 316314                     |0|PULS                          | |  9.510| |V      | | |       | |        |              | | |                   | |F0                           |266.66283|-28.89769
  416829|B|ASAS J174640-5710.6           |0|SR                            | |  8.187| |Ic     |Y| |  0.072| |Ic      | 2452463.90000| | |    31.520000000000| |                             |266.66555|-57.17809
  417341|B|ASAS J174640+0405.4           |0|SR                            | |  8.962| |Ic     |Y| |  0.105| |Ic      | 2452581.40000| | |    63.220000000000| |                             |266.66731|+04.08999
   48303|B|NSV 9679                      |1|                              | |  6.940| |V      | | |  6.980| |V       |              | | |                   | |A2                           |266.66958|+25.75000
   62285|B|NSV 23850                     |1|                              | |  7.100| |V      | | |  7.150| |V       |              | | |                   | |B5IV                         |266.67125|+05.77444
  413671|B|ASAS J174641-6713.8           |0|MISC                          | |  8.304| |Ic     |Y| |  0.064| |Ic      | 2452438.60000| | |    35.003000000000| |                             |266.67215|-67.23012
  415552|B|ASAS J174642-6837.8           |0|SR                            | |  8.490| |Ic     |Y| |  0.102| |Ic      | 2452517.90000| | |    32.550000000000| |                             |266.67315|-68.63039
  358199|B|[HHR2012] J174641.9-290224    |0|VAR                           | |  9.450| |r      |Y| |  0.190| |r       |              | | |                   | |M3                           |266.67456|-29.03994
 6619403| |Gaia DR3 4123805603722693248  |0|DSCT|GDOR|SXPHE               | |  9.410| |G      | | |  9.440| |G       |              | | |     0.242848000000| |O                            |266.68269|-16.94820
 6619619| |Gaia DR3 4054010697162430592  |0|RS                            | |  9.560| |G      | | |  9.850| |G       |              | | |                   | |B                            |266.68847|-32.63110
  413672|B|ASAS J174646-3600.6           |0|MISC                          | |  8.815| |Ic     |Y| |  0.824| |Ic      | 2453070.00000| | |   308.000000000000| |                             |266.69235|-36.01004
   22810|B|V2324 Oph                     |0|ELL:                          | |  8.190| |V      | | |  8.250| |V       |              | | |                   | |B8VHgMn                      |266.69458|+05.56492
   48288|B|NSV 9664                      |1|                              | |  9.000| |V      | | |       | |        |              | | |                   | |                             |266.70250|-15.14983
 9238388| |Gaia DR3 4041817736073486976  |0|ACV|roAm|roAp|SXARI           | |  9.490| |G      | | |  9.520| |G       |              | | |                   | |B                            |266.70847|-33.82639
  416887|B|ASAS J174650-5455.9           |0|SR                            | |  8.646| |Ic     |Y| |  0.143| |Ic      | 2452493.70000| | |    58.600000000000| |                             |266.70879|-54.93174
  275713|B|OGLE BUL_SC14 295082          |0|M                             | |  9.820| |Ic     | |<| 12.620| |Ic      | 2450992.00000| | |   394.000000000000| |                             |266.71283|-22.81217
  413673|B|ASAS J174652-3347.9           |0|MISC                          | |  8.643| |Ic     |Y| |  0.194| |Ic      | 2452547.00000| | |    82.738000000000| |                             |266.71563|-33.79814
  417143|B|ASAS J174653+2305.3           |0|SR                            | |  7.521| |Ic     |Y| |  0.048| |Ic      | 2452497.00000| | |   109.000000000000| |                             |266.71909|+23.08848
  305618|B|HIP 87024                     |0|VAR                           | |  6.550| |V      |Y| |  0.006| |V       |              | | |     0.607040000000| |K5                           |266.72160|+36.08750
 6621021| |Gaia DR3 5957198843094695040  |0|ACV|roAm|roAp|SXARI           | |  9.180| |G      | | |  9.210| |G       |              | | |                   | |B                            |266.72771|-42.50709
  107442|B|ASAS J174655+0249.9           |0|EC                            | |  9.570| |V      |Y| |  0.250| |V       | 2452159.90100| | |     0.299954000000| |K0                           |266.72833|+02.83036
 6621455| |Gaia DR3 4054061622643982592  |0|ACV|roAm|roAp|SXARI           | |  8.300| |G      | | |  8.330| |G       |              | | |                   | |B                            |266.73903|-32.41431
  629106|B|WISE J174658.8-300630         |0|CEP                           | |  8.057| |W1     |Y| |  0.251| |W1      |              | | |    11.476329700000| |                             |266.74509|-30.10839
 9384864| |Gaia DR3 4118880169614592512  |0|ROT                           | |  9.750| |G      | | |  9.780| |G       |              | | |                   | |F                            |266.75128|-20.70413
  476714|B|HD 161733A                    |0|ACV:                          | |  7.990| |V      | | |  8.010| |V       | 2454269.76000| | |     0.972350000000| |B7pHewk.C                    |266.75904|+05.69183
   32270|B|V4570 Sgr                     |0|M                             | |  9.200| |K      | | | 11.100| |K       |              | | |                   | |                             |266.75904|-28.76550
 6622377| |Gaia DR3 1349087989755289728  |0|ACV|roAm|roAp|SXARI           | |  9.650| |G      | | |  9.680| |G       |              | | |                   | |F                            |266.76132|+43.76840
 9390034| |Gaia DR3 4580498203607698688  |0|ACV|roAm|roAp|SXARI           | |  9.920| |G      | | | 10.020| |G       |              | | |                   | |A                            |266.76364|+23.32927
   27791|B|BN Sgr                        |0|EA/SD                         | |  9.250| |V      | | | 10.100| |V       | 2452751.34700| | |     2.519767210000| |G2-5                         |266.77242|-28.14986
  281778|B|ASAS J174705-6503.7           |0|ROT                           | |  9.694| |V      |Y| |  0.049| |V       |              | | |     0.470600000000| |G6III                        |266.77458|-65.06225
  413675|B|ASAS J174706-1732.9           |0|MISC                          | |  9.031| |Ic     |Y| |  0.157| |Ic      | 2452562.10000| | |    54.623000000000| |                             |266.77508|-17.54820
   25072|B|V0352 Pav                     |0|DSCTC                         | |  6.550| |Hp     | | |  6.610| |Hp      | 2448500.08000| | |     0.107006000000| |F2V                          |266.78075|-59.99433
 8589780| |Gaia DR3 4500863428265847168  |0|ACV|roAm|roAp|SXARI           | |  8.030| |G      | | |  8.820| |G       |              | | |                   | |A                            |266.78813|+15.03715
  413676|B|ASAS J174710-1516.8           |0|MISC                          | |  8.545| |Ic     |Y| |  0.425| |Ic      | 2452612.30000| | |   129.300000000000| |                             |266.79094|-15.27971
  413677|B|ASAS J174710-5106.2           |0|MISC                          | |  9.008| |Ic     |Y| |  0.261| |Ic      | 2452624.20000| | |   107.600000000000| |                             |266.79248|-51.10356
 6623630| |Gaia DR3 5945720663225192192  |0|ACV|roAm|roAp|SXARI           | |  9.640| |G      | | |  9.680| |G       |              | | |                   | |A                            |266.79488|-50.93878
  107461|B|ASAS J174711+2557.1           |0|MISC                          | |  9.657| |V      |Y| |  0.630| |V       |              | | |    65.740408000000| |                             |266.79554|+25.95142
    3423|B|V0620 Ara                     |0|EA                            | | 10.000| |V      | | | 11.500| |V       | 2452405.74700| | |     3.109930000000| |B9III                        |266.80479|-56.09933
 9227015| |Gaia DR3 4041112846052855296  |0|ACV|roAm|roAp|SXARI           | |  9.150| |G      | | |  9.180| |G       |              | | |                   | |B                            |266.80678|-35.30959
  417128|B|ASAS J174715-2907.0           |0|SR                            | |  8.014| |Ic     |Y| |  0.051| |Ic      | 2452653.70000| | |    93.600000000000| |                             |266.81320|-29.11696
  107471|B|ASAS J174717-0657.5           |0|MISC                          | |  9.380| |V      |Y| |  0.100| |V       | 2452006.30000| | |    24.763260000000| |                             |266.82096|-06.95864
  413678|B|ASAS J174717-3649.3           |0|MISC                          | |  8.583| |Ic     |Y| |  0.573| |Ic      | 2453216.70000| | |   253.800000000000| |                             |266.82166|-36.82088
  107475|B|ASAS J174719-7917.2           |0|MISC|SR                       | |  9.330| |V      |Y| |  0.240| |V       | 2452013.50000| | |    47.351646000000| |                             |266.82700|-79.28717
 6624925| |Gaia DR3 5911876424004059776  |0|DSCT|GDOR|SXPHE               | |  8.960| |G      | | |  8.990| |G       |              | | |     0.086076100000| |A                            |266.83031|-60.48311
   32271|B|V4571 Sgr                     |0|M:                            | |  8.700| |K      | | |  9.400| |K       |              | | |                   | |                             |266.83133|-29.34208
   32272|B|V4572 Sgr                     |0|M                             | |  9.400| |K      | | | 11.200| |K       |              | | |                   | |                             |266.83892|-29.34014
   32444|B|V4744 Sgr                     |0|NA                            | |  9.700| |R      | |<| 20.000| |R       |              | | |                   | |                             |266.84013|-23.47261
 6625343| |Gaia DR3 4164881846243461248  |0|E                             | |  9.930| |G      | | | 10.040| |G       |              | | |     0.240519000000| |B                            |266.84148|-09.75413
   62283|B|NSV 23848                     |1|VAR:                          | |  9.470| |V      | | |  9.490| |V       |              | | |                   | |B3Ia                         |266.84833|-29.63889
   32274|B|V4574 Sgr                     |0|M                             | |  8.150| |K      | | |  9.650| |K       |              | | |                   | |                             |266.85008|-28.54525
  413679|B|ASAS J174727-2057.7           |0|M                             | |  9.300| |Ic     |Y| |  0.388| |Ic      | 2453704.10000| | |   420.400000000000| |                             |266.85979|-20.96114
 9390507| |Gaia DR3 5947422088755447680  |0|ACV|roAm|roAp|SXARI           | |  9.870| |G      | | |  9.900| |G       |              | | |                   | |A                            |266.85982|-49.11343
  413680|B|ASAS J174726-5533.1           |0|MISC                          | |  8.388| |Ic     |Y| |  0.223| |Ic      | 2452507.80000| | |    55.460000000000| |                             |266.85998|-55.55230
   62281|B|NSV 23846                     |1|                              | |  9.300|:|R      | | | 13.200| |R       |              | | |                   | |                             |266.86375|-33.91833
 6626693| |Gaia DR3 5955637330416520576  |0|ROT                           | |  9.060| |G      | | |  9.080| |G       |              | | |                   | |G                            |266.87787|-43.41795
   27707|B|X Sgr                         |0|DCEP                          | |  4.220| |V      | | |  4.860| |V       | 2449310.83500| | |     7.013300000000| |F5-G2II                      |266.89013|-27.83081
    2839|B|UW Ara                        |0|EA                            | |  9.480| |V      | | | 10.400| |V       | 2452740.81200| | |     3.297015000000| |A0V                          |266.89383|-48.74756
 2390025| |iot 1 Sco                     |0|LC                            | |  2.990| |V      | | |  3.030| |V       |              | | |                   | |F2Ia                         |266.89617|-40.12700
  282819|B|HD 161701                     |0|EA                            | |  5.930| |V      |Y| |  0.025| |HI-1A   | 2454415.34000| | |    12.451230000000| |B9pHgMn+Ap                   |266.90300|-14.72580
  107502|B|ASAS J174737+1502.1           |0|MISC                          | |  7.690| |V      |Y| |  0.030| |V       | 2452702.10500| | |     0.070753000000| |                             |266.90454|+15.03503
  250087|B|HD 161753                     |0|VAR                           | |  9.070| |V      | | |       | |        |              | | |                   | |B9                           |266.90654|-06.56578
  107503|B|ASAS J174739-3548.4           |0|ROT                           | |  8.807| |V      |Y| |  0.172| |V       | 2451996.90000| | |    19.770000000000| |A0/A1V+                      |266.91379|-35.80689
  629279|B|WISE J174739.5+534919         |0|EW                            | |  9.065| |W1     |Y| |  0.088| |W1      |              | | |     0.346629100000| |G3                           |266.91477|+53.82204
   32276|B|V4576 Sgr                     |0|M:                            | |  9.100| |K      | | |  9.800| |K       |              | | |                   | |                             |266.91654|-28.58919
  409935|B|HD 161349                     |0|ACV                           | |  8.430| |V      | | |  8.490| |V       | 2453293.56000| | |     4.019200000000| |B9pSi                        |266.91752|-49.40900
 9223499| |Gaia DR3 4040279102607479936  |0|ACV|roAm|roAp|SXARI           | |  9.310| |G      | | |  9.420| |G       |              | | |                   | |A                            |266.92007|-36.07692
  107509|B|ASAS J174742-0338.6           |0|MISC|SR                       | |  8.520| |V      |Y| |  0.500| |V       | 2452104.10000| | |    75.812401000000| |M5                           |266.92654|-03.64392
 6628598| |Gaia DR3 5774205537990380160  |0|ROT                           | |  8.700| |G      | | |  8.730| |G       |              | | |                   | |K                            |266.92786|-82.21644
  107513|B|ASAS J174745+2822.9           |0|MISC                          | |  8.891| |V      |Y| |  0.320| |V       |              | | |    41.150021000000| |M6                           |266.93642|+28.38208
   48306|B|NSV 9682                      |1|                              | |  4.640| |I      | | |  4.970| |I       |              | | |                   | |G3                           |266.94000|-22.47778
 6629484| |Gaia DR3 4501226091006035840  |0|RS                            | |  9.700| |G      | | |  9.750| |G       |              | | |                   | |K                            |266.94868|+15.94451
  413681|B|ASAS J174747-3451.8           |0|MISC                          | |  8.697| |Ic     |Y| |  0.288| |Ic      | 2452607.20000| | |    73.380000000000| |                             |266.94950|-34.86342
   62316|B|NSV 23881                     |1|VAR:                          | |  8.390| |V      |Y| |  0.130| |V       |              | | |                   | |G7                           |266.95208|+05.36250
   22872|B|V2386 Oph                     |0|LB:                           | |  7.410| |Hp     | | |  7.510| |Hp      |              | | |                   | |M                            |266.96979|+06.40244
   14899|B|BK Her                        |0|M                             | |  9.800| |V      | |<| 14.200| |V       | 2428298.00000| | |   215.300000000000| |M4/5                         |266.97500|+26.68908
  107525|B|ASAS J174755-2626.5           |0|MISC                          | |  9.757| |V      |Y| |  0.130| |V       |              | | |  1267.148800000000| |OB-                          |266.97879|-26.44186
  415554|B|ASAS J174755-4540.4           |0|SR                            | |  8.929| |Ic     |Y| |  0.391| |Ic      | 2457299.70000| | |   979.000000000000| |                             |266.97989|-45.67256
   15779|B|V0968 Her                     |0|LB                            | |  6.470| |Hp     | | |  6.660| |Hp      |              | | |                   | |M0                           |266.98629|+36.55514
 9234576| |Gaia DR3 4041498808967714304  |0|ACV|roAm|roAp|SXARI           | |  9.660| |G      | | |  9.700| |G       |              | | |                   | |A                            |266.98677|-35.01700
 6631247| |Gaia DR3 4551233464682812672  |0|ACV|roAm|roAp|SXARI           | |  9.440| |G      | | |  9.470| |G       |              | | |                   | |A                            |266.99376|+18.38122
   62352|B|NSV 23917                     |0|PULS                          | |  7.598| |V      |Y| |  0.021| |w       | 2457108.62170| | |     0.038121000000| |A5/6IV                       |266.99417|+39.98083
   33701|B|V0885 Sco                     |0|E/DM                          | |  9.300| |V      | | |  9.700| |V       | 2452951.51000| | |     9.298000000000| |B2V                          |266.99579|-37.64003
    3340|B|V0537 Ara                     |0|EA                            | |  8.640| |V      | | |  8.940| |V       | 2452861.71100| | |     1.874351000000| |B7IV                         |267.00021|-54.70342
  413682|B|ASAS J174802-2445.4           |0|MISC                          | |  8.083| |Ic     |Y| |  0.231| |Ic      | 2452704.10000| | |   143.600000000000| |M8+:                         |267.01028|-24.75668
  107539|B|ASAS J174805+1454.7           |0|MISC                          | |  9.740| |V      |Y| |  0.060| |V       | 2452766.50000| | |    22.750623000000| |                             |267.01946|+14.91108
 6632328| |Gaia DR3 5918185937114330496  |0|ROT                           | |  9.780| |G      | | |  9.800| |G       |              | | |                   | |G                            |267.02066|-58.25816
  415780|B|ASAS J174806-4256.6           |0|SR                            | |  8.443| |Ic     |Y| |  0.110| |Ic      | 2452870.60000| | |   256.000000000000| |                             |267.02659|-42.94342
 6632791| |Gaia DR3 5957287663029278976  |0|BCEP                          | |  9.870| |G      | | | 10.000| |G       |              | | |     0.059035600000| |B                            |267.03282|-42.28678
  413683|B|ASAS J174808-3014.4           |0|MISC                          | |  8.652| |Ic     |Y| |  0.400| |Ic      | 2453137.20000| | |   236.300000000000| |M7                           |267.03346|-30.23951
  274194|B|ASAS J174808-3442.5           |0|VAR                           | |  7.716| |Ic     |Y| |  0.207| |Ic      |              | | |                   | |                             |267.03367|-34.70869
  107547|B|ASAS J174813-4938.3           |0|MISC|SR                       | |  9.550| |V      |Y| |  0.270| |V       | 2452031.00000| | |    41.565430000000| |M5III:                       |267.05588|-49.63853
  474294|B|2MASS J17481402-3803288       |0|M                             | |  8.600| |J      | |<|  8.900| |J       |              | | |   175.200000000000| |                             |267.05845|-38.05800
   32075|B|V4375 Sgr                     |0|SDOR:                         | |  9.030| |V      | | |  9.200| |V       |              | | |                   | |B0Ieq                        |267.05850|-28.01475
  413684|B|ASAS J174815-4132.3           |0|MISC                          | |  8.674| |Ic     |Y| |  0.552| |Ic      | 2453017.20000| | |   249.000000000000| |                             |267.06130|-41.53837
